"personnage_id","personnage","scene_number","scene_heading","source_principale","reference_iliade","present_dans_characters","mentionne_dans_analyse"
"achille","Achille","1","EXT. THESSALIAN VALLEY - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","2","EXT. WOODS - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","3","EXT. MYCENAEAN CAMP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","4","INT. ACHILLES' TENT - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","5","EXT. MYCENAEAN CAMP","H̩ritage Gr̩co-Romain","","True","False"
"achille","Achille","6","EXT. THESSALIAN VALLEY","Adaptation Cin̩ma","","True","False"
"achille","Achille","8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","Le Cycle Troyen","","False","True"
"achille","Achille","20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","23","EXT. SEASIDE CLIFF - LATE AFTERNOON","Adaptation Cin̩ma","","True","False"
"achille","Achille","24","EXT. BEACH - SUNSET","L'Iliade","Chant IX","False","True"
"achille","Achille","25","EXT. SEASHORE - SUNSET","L'Iliade","Chant IX","True","False"
"achille","Achille","26","EXT. AEGEAN SEA - DAY","Le Cycle Troyen","","False","True"
"achille","Achille","27","EXT. ACHILLES' WARSHIP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","29","EXT. PALACE OF TROY","L'Iliade","Chant VI","False","True"
"achille","Achille","33","EXT. TROY - DAWN","Adaptation Cin̩ma","","False","True"
"achille","Achille","39","EXT. AEGEAN SEA - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","40","EXT. ACHILLES' WARSHIP","Adaptation Cin̩ma","","True","False"
"achille","Achille","41","EXT. AGAMEMNON'S WARSHIP","Adaptation Cin̩ma","","False","True"
"achille","Achille","45","EXT. ACHILLES' WARSHIP","Adaptation Cin̩ma","","True","False"
"achille","Achille","47","EXT. ACHILLES' WARSHIP - DAY","Adaptation Cin̩ma","","True","False"
"achille","Achille","48","EXT. TROJAN BEACH FORTIFICATIONS - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","49","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","50","EXT. ACHILLES' WARSHIP - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","51","EXT. TROJAN BEACH - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","52","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","54","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cin̩ma","","True","False"
